Team1,Team2,Time,Points1,Points2,ServeEff1,ServeEff2,PosPercent1,PosPercent2,KillPercent1,KillPercent2,EffPercent1,EffPercent2,Score1,Score2
Trefl Gdańsk,Cerrad Enea Czarni Radom,"24.10.2022, 17:30",54,45,-4%,-9%,47%,50%,41%,36%,26%,15%,3,0
PGE Skra Bełchatów,Asseco Resovia Rzeszów,"22.10.2022, 14:45",78,74,-1%,3%,35%,37%,53%,50%,42%,41%,2,3
Projekt Warszawa,Cuprum Lubin,"23.10.2022, 17:30",66,62,-6%,-16%,41%,42%,50%,43%,38%,24%,3,1
Barkom Każany Lwów,Ślepsk Malow Suwałki,"23.10.2022, 14:45",60,66,-12%,-2%,42%,31%,46%,52%,29%,39%,1,3
GKS Katowice,Ślepsk Malow Suwałki,"28.10.2022, 17:30",76,65,-9%,-10%,46%,53%,47%,41%,32%,25%,3,2
Cuprum Lubin,Barkom Każany Lwów,"28.10.2022, 20:30",79,60,0%,-13%,40%,37%,54%,50%,44%,40%,3,2
PGE Skra Bełchatów,Projekt Warszawa,"29.10.2022, 14:45",37,56,-9%,1%,32%,45%,45%,60%,20%,48%,0,3
Cerrad Enea Czarni Radom,Asseco Resovia Rzeszów,"29.10.2022, 20:30",42,50,-20%,-2%,41%,52%,40%,51%,17%,30%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Trefl Gdańsk,"30.10.2022, 14:45",50,44,0%,-15%,47%,46%,50%,41%,37%,16%,3,0
PSG Stal Nysa,Jastrzębski Węgiel,"30.10.2022, 17:30",36,55,-16%,-4%,38%,45%,45%,56%,33%,51%,0,3
Indykpol AZS Olsztyn,BBTS Bielsko-Biała,"29.10.2022, 17:30",53,33,4%,-13%,42%,35%,67%,40%,57%,17%,3,0
LUK  Lublin,Aluron CMC Warta Zawiercie,"30.10.2022, 20:30",83,64,-12%,-2%,52%,37%,48%,43%,29%,21%,2,3
Aluron CMC Warta Zawiercie,GKS Katowice,"03.11.2022, 16:30",59,44,-10%,-16%,52%,37%,53%,44%,45%,32%,3,0
BBTS Bielsko-Biała,LUK  Lublin,"03.11.2022, 18:45",70,76,-9%,-6%,46%,42%,51%,53%,39%,41%,1,3
PSG Stal Nysa,Indykpol AZS Olsztyn,"02.11.2022, 16:30",57,43,-6%,-8%,46%,36%,56%,46%,47%,25%,3,0
Trefl Gdańsk,Jastrzębski Węgiel,"02.11.2022, 18:45",39,54,-10%,1%,41%,47%,42%,48%,22%,41%,0,3
Asseco Resovia Rzeszów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"02.11.2022, 21:00",63,51,-2%,-1%,50%,30%,54%,48%,37%,25%,3,0
Projekt Warszawa,Cerrad Enea Czarni Radom,"01.11.2022, 21:00",50,44,-7%,-10%,51%,60%,52%,39%,37%,22%,3,0
Barkom Każany Lwów,PGE Skra Bełchatów,"01.11.2022, 18:45",66,82,-9%,-13%,52%,44%,47%,55%,30%,40%,3,2
Ślepsk Malow Suwałki,Cuprum Lubin,"01.11.2022, 16:30",73,60,-5%,-3%,56%,49%,50%,41%,32%,25%,3,1
GKS Katowice,Cuprum Lubin,"07.11.2022, 20:30",50,35,-6%,-27%,47%,46%,55%,39%,48%,18%,3,0
PGE Skra Bełchatów,Ślepsk Malow Suwałki,"04.11.2022, 20:30",47,59,-4%,6%,39%,42%,57%,62%,44%,56%,0,3
Cerrad Enea Czarni Radom,Barkom Każany Lwów,"05.11.2022, 20:30",34,56,-5%,2%,27%,30%,32%,48%,8%,33%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Projekt Warszawa,"06.11.2022, 14:45",62,71,-9%,-18%,45%,46%,49%,47%,33%,34%,3,1
Jastrzębski Węgiel,Asseco Resovia Rzeszów,"05.11.2022, 14:45",55,52,-9%,-10%,24%,31%,54%,59%,41%,43%,3,0
Indykpol AZS Olsztyn,Trefl Gdańsk,"07.11.2022, 17:30",30,55,-12%,-10%,33%,34%,38%,56%,16%,46%,0,3
LUK  Lublin,PSG Stal Nysa,"06.11.2022, 17:30",75,63,-9%,-5%,41%,36%,52%,48%,36%,31%,3,1
Aluron CMC Warta Zawiercie,BBTS Bielsko-Biała,"06.11.2022, 20:30",51,46,-1%,-12%,56%,34%,50%,48%,36%,32%,3,0
BBTS Bielsko-Biała,GKS Katowice,"14.11.2022, 20:30",61,70,-17%,-10%,52%,51%,53%,65%,39%,53%,1,3
PSG Stal Nysa,Aluron CMC Warta Zawiercie,"13.11.2022, 20:30",41,58,-20%,6%,32%,46%,50%,70%,41%,52%,0,3
Trefl Gdańsk,LUK  Lublin,"11.11.2022, 17:30",53,40,4%,-10%,47%,50%,55%,43%,43%,22%,3,0
Asseco Resovia Rzeszów,Indykpol AZS Olsztyn,"12.11.2022, 14:45",66,65,-3%,-4%,34%,32%,51%,49%,42%,28%,3,1
Projekt Warszawa,Jastrzębski Węgiel,"12.11.2022, 17:30",56,69,-5%,-1%,46%,40%,43%,61%,26%,53%,1,3
Barkom Każany Lwów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"13.11.2022, 14:45",75,81,-5%,-9%,46%,42%,44%,51%,29%,39%,2,3
Ślepsk Malow Suwałki,Cerrad Enea Czarni Radom,"10.11.2022, 20:30",85,86,-5%,-12%,54%,43%,50%,50%,33%,34%,3,2
Cuprum Lubin,PGE Skra Bełchatów,"13.11.2022, 17:30",79,68,-14%,-16%,53%,30%,48%,45%,31%,27%,3,2
GKS Katowice,PGE Skra Bełchatów,"19.11.2022, 20:30",50,58,-9%,2%,39%,44%,49%,48%,39%,38%,0,3
Cerrad Enea Czarni Radom,Cuprum Lubin,"20.11.2022, 17:30",40,55,-8%,0%,32%,53%,45%,53%,21%,38%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Ślepsk Malow Suwałki,"19.11.2022, 17:30",60,53,-6%,-7%,48%,55%,57%,50%,48%,34%,3,0
Jastrzębski Węgiel,Barkom Każany Lwów,"20.11.2022, 20:30",62,47,0%,-15%,46%,44%,60%,46%,45%,34%,3,0
Indykpol AZS Olsztyn,Projekt Warszawa,"20.11.2022, 14:45",45,60,-6%,-5%,33%,46%,45%,57%,27%,48%,0,3
LUK  Lublin,Asseco Resovia Rzeszów,"18.11.2022, 17:30",38,55,-15%,-10%,59%,44%,42%,63%,24%,53%,0,3
Aluron CMC Warta Zawiercie,Trefl Gdańsk,"19.11.2022, 14:45",51,46,-7%,-22%,46%,45%,48%,51%,36%,44%,3,0
PSG Stal Nysa,BBTS Bielsko-Biała,"18.11.2022, 20:30",58,32,-16%,-18%,39%,37%,73%,50%,68%,35%,3,0
PSG Stal Nysa,GKS Katowice,"22.11.2022, 18:30",81,76,-7%,-7%,44%,35%,47%,49%,29%,32%,2,3
Trefl Gdańsk,BBTS Bielsko-Biała,"22.11.2022, 16:15",47,45,-9%,-12%,55%,39%,51%,43%,39%,23%,3,0
Asseco Resovia Rzeszów,Aluron CMC Warta Zawiercie,"22.11.2022, 21:00",70,72,-15%,0%,34%,43%,50%,54%,37%,36%,1,3
Projekt Warszawa,LUK  Lublin,"23.11.2022, 21:00",66,65,-15%,-1%,56%,52%,43%,45%,24%,33%,1,3
Barkom Każany Lwów,Indykpol AZS Olsztyn,"24.11.2022, 18:30",76,80,-12%,-12%,48%,39%,46%,52%,27%,37%,2,3
Ślepsk Malow Suwałki,Jastrzębski Węgiel,"24.11.2022, 16:15",42,61,-7%,-8%,50%,63%,55%,61%,32%,50%,0,3
Cuprum Lubin,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"23.11.2022, 18:30",35,48,-27%,-8%,55%,35%,31%,54%,6%,41%,0,3
